MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn
102,751.5335661194663,52,0.9901960784313726,751.5335661194663,102,2552.7796565822864,0.9901960784313726,468779,367.4510851488517,187.93307482060825,2552.7796565822864,187.93307482060825,751.5335661194663,751.5335661194663,52,367.4510851488517
112,685.7481652403827,53,1.0,685.748165240383,112,2002.010667544929,1.0,478379,280.6719600974752,174.44280410065494,2002.010667544929,174.44280410065494,685.7481652403827,685.748165240383,53,280.6719600974752
81,989.9874588388162,54,0.9753086419753086,989.9874588388165,81,2538.427948515187,0.9753086419753086,487943,442.1286086018682,453.08822594720635,2538.427948515187,453.08822594720635,989.9874588388162,989.9874588388165,54,442.1286086018682
115,663.7216599784979,55,0.991304347826087,663.7216599784979,115,2457.3577928587315,0.991304347826087,496935,252.4739840168063,314.0285360423014,2457.3577928587315,314.0285360423014,663.7216599784979,663.7216599784979,55,252.4739840168063
69,1218.0823470921657,56,0.9130434782608695,1218.0823470921655,69,2574.3249307770134,0.9130434782608695,505543,651.7792607356461,465.81486741342155,2574.3249307770134,465.81486741342155,1218.0823470921657,1218.0823470921655,56,651.7792607356461
80,940.8990265898585,57,0.975,940.8990265898581,80,2447.928181549344,0.975,514146,505.70016519878635,438.5133871312093,2447.928181549344,438.5133871312093,940.8990265898585,940.8990265898581,57,505.70016519878635
53,1649.1970227180598,58,0.7735849056603774,1649.197022718059,53,2593.0926528322875,0.7735849056603774,522838,649.9570582318328,548.2245413869333,2593.0926528322875,548.2245413869333,1649.1970227180598,1649.197022718059,58,649.9570582318328
55,1500.7103522425502,59,0.7636363636363637,1500.7103522425507,55,2763.906873967105,0.7636363636363637,532791,711.3155298004776,499.3586614114832,2763.906873967105,499.3586614114832,1500.7103522425502,1500.7103522425507,59,711.3155298004776
61,1389.7061406133766,60,0.7377049180327869,1389.7061406133766,61,2745.8007903981015,0.7377049180327869,542034,812.2699613358091,37.98479119452416,2745.8007903981015,37.98479119452416,1389.7061406133766,1389.7061406133766,60,812.2699613358091
35,2115.2159025021224,61,0.4,2115.215902502123,35,2702.1988240468827,0.4,551719,707.1805908157808,695.8137690200822,2702.1988240468827,695.8137690200822,2115.2159025021224,2115.215902502123,61,707.1805908157808
45,1712.265982748147,62,0.5333333333333333,1712.2659827481464,45,2632.270544401513,0.5333333333333333,560924,873.6250562501804,355.642903796633,2632.270544401513,355.642903796633,1712.265982748147,1712.2659827481464,62,873.6250562501804
49,1642.8301584171322,63,0.7142857142857143,1642.8301584171322,49,2709.6149751135436,0.7142857142857143,571143,764.0629543306392,455.0881857056052,2709.6149751135436,455.0881857056052,1642.8301584171322,1642.8301584171322,63,764.0629543306392
43,1971.230740873187,64,0.6046511627906976,1971.2307408731867,43,2978.0275160972988,0.6046511627906976,581734,734.4132170469011,578.5881952903521,2978.0275160972988,578.5881952903521,1971.230740873187,1971.2307408731867,64,734.4132170469011
41,1987.784375144015,65,0.4146341463414634,1987.7843751440155,41,2810.832063978528,0.4146341463414634,590664,851.8339695111705,466.3608014907551,2810.832063978528,466.3608014907551,1987.784375144015,1987.7843751440155,65,851.8339695111705
59,1472.1819398719213,66,0.711864406779661,1472.181939871921,59,2777.114992166884,0.711864406779661,600600,845.2439129959173,254.24551210280492,2777.114992166884,254.24551210280492,1472.1819398719213,1472.181939871921,66,845.2439129959173
41,1723.6073886994059,67,0.5853658536585366,1723.6073886994056,41,2614.584943652523,0.5853658536585366,608983,698.8586358275988,271.34435451184663,2614.584943652523,271.34435451184663,1723.6073886994059,1723.6073886994056,67,698.8586358275988
67,1159.751123186574,68,0.8507462686567164,1159.751123186574,67,2639.4316426727555,0.8507462686567164,618008,743.7826271735547,185.7488554830048,2639.4316426727555,185.7488554830048,1159.751123186574,1159.751123186574,68,743.7826271735547
88,877.8968675487552,69,0.9772727272727273,877.8968675487552,88,2581.222246237661,0.9772727272727273,627727,514.7555079864887,183.1906204519852,2581.222246237661,183.1906204519852,877.8968675487552,877.8968675487552,69,514.7555079864887
79,1026.8349339022996,70,0.7974683544303798,1026.8349339022996,79,2671.9125029509255,0.7974683544303798,636344,870.7985627098019,204.5109995887327,2671.9125029509255,204.5109995887327,1026.8349339022996,1026.8349339022996,70,870.7985627098019
54,1429.0948602791582,71,0.6666666666666666,1429.094860279158,54,2607.8863736785684,0.6666666666666666,645137,948.0213941101199,90.51283641131815,2607.8863736785684,90.51283641131815,1429.0948602791582,1429.094860279158,71,948.0213941101199
112,686.301552229392,72,0.9642857142857143,686.3015522293917,112,2587.3488593650272,0.9642857142857143,654766,509.4503600129451,235.34750905175042,2587.3488593650272,235.34750905175042,686.301552229392,686.3015522293917,72,509.4503600129451
70,1069.7820121108375,73,0.8428571428571429,1069.7820121108375,70,2554.7216867828406,0.8428571428571429,662817,676.7893186531755,213.9852833263046,2554.7216867828406,213.9852833263046,1069.7820121108375,1069.7820121108375,73,676.7893186531755
77,876.4357076850346,74,0.935064935064935,876.4357076850346,77,2382.078809724771,0.935064935064935,671062,562.2813770691855,183.08755604300657,2382.078809724771,183.08755604300657,876.4357076850346,876.4357076850346,74,562.2813770691855
71,1041.3200854587744,75,0.9014084507042254,1041.3200854587742,71,2661.3565390304357,0.9014084507042254,679733,623.8292717225925,154.5255312069242,2661.3565390304357,154.5255312069242,1041.3200854587744,1041.3200854587742,75,623.8292717225925
84,917.1670703836968,76,0.9166666666666666,917.1670703836968,84,2427.8380570922363,0.9166666666666666,689031,658.9966770024705,82.17442868697898,2427.8380570922363,82.17442868697898,917.1670703836968,917.1670703836968,76,658.9966770024705
70,1135.2608600742303,77,0.8,1135.26086007423,70,2489.7233937312185,0.8,698606,779.8913325882389,253.25611721042247,2489.7233937312185,253.25611721042247,1135.2608600742303,1135.26086007423,77,779.8913325882389
49,1454.0859457872277,78,0.6326530612244898,1454.0859457872275,49,2515.785198151102,0.6326530612244898,707750,768.4956033995343,243.48032582502228,2515.785198151102,243.48032582502228,1454.0859457872277,1454.0859457872275,78,768.4956033995343
53,1551.4236370322685,79,0.7547169811320755,1551.4236370322685,53,2854.071677058066,0.7547169811320755,717218,670.010626276971,382.2321729591286,2854.071677058066,382.2321729591286,1551.4236370322685,1551.4236370322685,79,670.010626276971
50,1503.628456149449,80,0.66,1503.6284561494494,50,2430.574357243708,0.66,727065,707.6064952909288,113.11122695789197,2430.574357243708,113.11122695789197,1503.628456149449,1503.6284561494494,80,707.6064952909288
50,1512.4732082787712,81,0.74,1512.4732082787712,50,2345.392483891823,0.74,736819,556.2818246324986,320.8836890884008,2345.392483891823,320.8836890884008,1512.4732082787712,1512.4732082787712,81,556.2818246324986
40,1993.9871693465525,82,0.475,1993.9871693465525,40,2660.6337673419102,0.475,746985,594.3204160900226,356.17920549189955,2660.6337673419102,356.17920549189955,1993.9871693465525,1993.9871693465525,82,594.3204160900226
65,1275.4680795786003,83,0.8615384615384616,1275.4680795786003,65,2704.1792783913006,0.8615384615384616,755136,701.4533264817836,272.9421514200802,2704.1792783913006,272.9421514200802,1275.4680795786003,1275.4680795786003,83,701.4533264817836
32,2047.4433011234128,84,0.25,2047.4433011234123,32,2745.549487543084,0.25,763741,561.0300207957816,595.6428436419849,2745.549487543084,595.6428436419849,2047.4433011234128,2047.4433011234123,84,561.0300207957816
53,1493.005552467054,85,0.7547169811320755,1493.0055524670538,53,2552.48547569397,0.7547169811320755,773777,622.6492760080878,546.2911308505761,2552.48547569397,546.2911308505761,1493.005552467054,1493.0055524670538,85,622.6492760080878
56,1452.2110894299644,86,0.875,1452.2110894299647,56,2683.258608376852,0.875,782689,615.3476833680869,237.28677472842057,2683.258608376852,237.28677472842057,1452.2110894299644,1452.2110894299647,86,615.3476833680869
58,1424.4785245546645,87,0.8448275862068966,1424.4785245546645,58,2920.4906802416626,0.8448275862068966,791366,743.6660696296292,285.0717086382073,2920.4906802416626,285.0717086382073,1424.4785245546645,1424.4785245546645,87,743.6660696296292
84,975.6786713268584,88,0.9642857142857143,975.6786713268584,84,2832.4956871400777,0.9642857142857143,801824,551.4051245422178,326.033546846308,2832.4956871400777,326.033546846308,975.6786713268584,975.6786713268584,88,551.4051245422178
75,1135.3659385449523,89,0.9333333333333333,1135.3659385449523,75,2870.8588230484743,0.9333333333333333,810948,544.2755514282792,447.8005210293622,2870.8588230484743,447.8005210293622,1135.3659385449523,1135.3659385449523,89,544.2755514282792
92,885.8211845953148,90,0.9782608695652174,885.8211845953148,92,2660.0260649656016,0.9782608695652174,819331,472.71982150477544,106.50543082925135,2660.0260649656016,106.50543082925135,885.8211845953148,885.8211845953148,90,472.71982150477544
74,1170.8023506993882,91,0.972972972972973,1170.8023506993882,74,3095.969703696401,0.972972972972973,827670,463.6799917805012,529.3508974688701,3095.969703696401,529.3508974688701,1170.8023506993882,1170.8023506993882,91,463.6799917805012
112,747.442256485263,92,1.0,747.442256485263,112,2073.386098171776,1.0,836800,313.9442253733049,94.02305878827559,2073.386098171776,94.02305878827559,747.442256485263,747.442256485263,92,313.9442253733049
93,980.6607400842885,93,1.0,980.6607400842885,93,2741.9522516679617,1.0,844702,436.37578355504917,124.71607132012836,2741.9522516679617,124.71607132012836,980.6607400842885,980.6607400842885,93,436.37578355504917
108,767.9132965113099,94,1.0,767.9132965113099,108,2822.7136239334054,1.0,852876,450.44159881361816,54.1990704832007,2822.7136239334054,54.1990704832007,767.9132965113099,767.9132965113099,94,450.44159881361816
87,1034.470257081601,95,1.0,1034.4702570816012,87,3327.2963608339205,1.0,861356,474.9449864746681,76.14502758628106,3327.2963608339205,76.14502758628106,1034.470257081601,1034.4702570816012,95,474.9449864746681
95,1020.8157771683199,96,1.0,1020.81577716832,95,2930.916075777882,1.0,870436,558.0151715345896,142.93477780848087,2930.916075777882,142.93477780848087,1020.8157771683199,1020.81577716832,96,558.0151715345896
91,990.2033610112153,97,0.989010989010989,990.2033610112152,91,3165.9028907293946,0.989010989010989,879778,589.6188771767477,127.3526058407012,3165.9028907293946,127.3526058407012,990.2033610112153,990.2033610112152,97,589.6188771767477
115,816.9824472024873,98,0.991304347826087,816.9824472024873,115,2943.9604291838405,0.991304347826087,890841,581.6751808886363,68.12948638028037,2943.9604291838405,68.12948638028037,816.9824472024873,816.9824472024873,98,581.6751808886363
112,853.6839187822667,99,0.9821428571428571,853.6839187822667,112,3196.4175941813614,0.9821428571428571,899843,515.5137387726134,217.85987027139183,3196.4175941813614,217.85987027139183,853.6839187822667,853.6839187822667,99,515.5137387726134
126,719.6707238024101,100,1.0,719.6707238024101,126,2521.1449040203465,1.0,910041,226.3656316820577,133.31421930981992,2521.1449040203465,133.31421930981992,719.6707238024101,719.6707238024101,100,226.3656316820577
