MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn
70,334.806015417032,140.9695742058957,1.0,160,334.806015417032,618307,100.10160537768674,334.806015417032,140.9695742058957,70,821.6006826404708,821.6006826404708,1.0,100.10160537768674,160,334.806015417032
71,350.4709530266511,148.9250167413905,1.0,143,350.4709530266511,626653,117.06297499587947,350.4709530266511,148.9250167413905,71,971.1582255905473,971.1582255905473,1.0,117.06297499587947,143,350.4709530266511
72,311.6188856233347,189.08533434293759,1.0,173,311.6188856233346,635287,63.86533742507403,311.6188856233347,189.08533434293759,72,1402.1531171999204,1402.1531171999204,1.0,63.86533742507403,173,311.6188856233346
73,374.7225406591873,241.29630987908658,1.0,151,374.7225406591873,642931,14.815099344149495,374.7225406591873,241.29630987908658,73,1872.5858963547523,1872.5858963547523,1.0,14.815099344149495,151,374.7225406591873
74,434.48033842316363,286.845415744225,1.0,135,434.4803384231636,651421,69.36186663500158,434.48033842316363,286.845415744225,74,1498.5813770274508,1498.5813770274508,1.0,69.36186663500158,135,434.4803384231636
75,373.7037705291031,220.68602577443596,1.0,148,373.70377052910305,660055,85.4476535092493,373.7037705291031,220.68602577443596,75,1234.0673012169852,1234.0673012169852,1.0,85.4476535092493,148,373.70377052910305
76,445.0148980769605,328.79014417994694,1.0,124,445.0148980769606,669022,28.886088261445586,445.0148980769605,328.79014417994694,76,1708.4671322850393,1708.4671322850393,1.0,28.886088261445586,124,445.0148980769606
77,457.24199760443685,226.64712826435255,1.0,125,457.2419976044368,677647,103.5466859866799,457.24199760443685,226.64712826435255,77,1285.5028319524708,1285.5028319524708,1.0,103.5466859866799,125,457.2419976044368
78,409.9180752768844,269.03048151595135,1.0,139,409.9180752768844,687010,28.42435040463337,409.9180752768844,269.03048151595135,78,1319.075146755207,1319.075146755207,1.0,28.42435040463337,139,409.9180752768844
79,447.1626324092516,279.54747556418073,1.0,133,447.16263240925167,694944,21.27981478345884,447.1626324092516,279.54747556418073,79,1489.4608987119761,1489.4608987119761,1.0,21.27981478345884,133,447.16263240925167
80,467.17873054600517,329.4588470042956,1.0,127,467.17873054600517,703557,95.22863166972523,467.17873054600517,329.4588470042956,80,2932.934865450367,2932.934865450367,1.0,95.22863166972523,127,467.17873054600517
