MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/MaxReturn
179,65,234.77783331505728,234.77783331505728,998.9559653890974,317.346982911776,317.346982911776,-25.5470207062502,1.0,-25.5470207062502,65,317.346982911776,179,317.346982911776,1.0,581628,998.9559653890974
172,66,184.51432815581472,184.51432815581472,974.5083053930153,338.4403265187639,338.440326518764,-78.02706908320802,1.0,-78.02706908320802,66,338.440326518764,172,338.4403265187639,1.0,589493,974.5083053930153
188,67,180.66909113077512,180.66909113077512,866.3384379506039,274.6630688160416,274.6630688160416,9.175688425984406,1.0,9.175688425984406,67,274.6630688160416,188,274.6630688160416,1.0,596809,866.3384379506039
155,68,200.26871472511576,200.26871472511576,984.2407901093057,347.27602983983826,347.27602983983826,22.649485726081267,1.0,22.649485726081267,68,347.27602983983826,155,347.27602983983826,1.0,604270,984.2407901093057
182,69,201.98184959358346,201.98184959358346,840.2774417342853,287.4057731542164,287.4057731542164,-47.33331972398583,1.0,-47.33331972398583,69,287.4057731542164,182,287.4057731542164,1.0,612650,840.2774417342853
198,70,256.7077898084878,256.7077898084878,1188.4146913047546,270.52336963951535,270.52336963951535,-9.095197447826465,1.0,-9.095197447826465,70,270.52336963951535,198,270.52336963951535,1.0,621086,1188.4146913047546
160,71,198.94499063934896,198.94499063934896,1030.2575047049636,386.4938711750672,386.4938711750673,19.49766732739475,1.0,19.49766732739475,71,386.4938711750673,160,386.4938711750672,1.0,628951,1030.2575047049636
152,72,218.91906898771668,218.91906898771668,1199.2960987326671,407.8491164056314,407.8491164056314,23.774901687187384,1.0,23.774901687187384,72,407.8491164056314,152,407.8491164056314,1.0,636653,1199.2960987326671
143,73,237.10215579910752,237.10215579910752,1117.1343235683921,411.37141771133446,411.37141771133446,-157.806131827578,1.0,-157.806131827578,73,411.37141771133446,143,411.37141771133446,1.0,644469,1117.1343235683921
144,74,220.34644693841096,220.34644693841096,1007.2753880321385,451.0248901424461,451.0248901424461,25.93043517230703,1.0,25.93043517230703,74,451.0248901424461,144,451.0248901424461,1.0,652830,1007.2753880321385
145,75,234.57359786440648,234.57359786440648,1077.0602710895655,487.77429481788454,487.77429481788454,18.61782474524105,1.0,18.61782474524105,75,487.77429481788454,145,487.77429481788454,1.0,660732,1077.0602710895655
158,76,234.06096204321577,234.06096204321577,986.4327289583915,404.85986777192403,404.85986777192403,40.788477237945976,1.0,40.788477237945976,76,404.85986777192403,158,404.85986777192403,1.0,668758,986.4327289583915
145,77,196.42089809627453,196.42089809627453,1082.4178158139305,491.5911166785596,491.5911166785597,12.15001640873268,1.0,12.15001640873268,77,491.5911166785597,145,491.5911166785596,1.0,676650,1082.4178158139305
145,78,232.19694948598584,232.19694948598584,1348.4357308490544,522.4041345503865,522.4041345503866,24.45200075090316,1.0,24.45200075090316,78,522.4041345503866,145,522.4041345503865,1.0,684910,1348.4357308490544
189,79,191.01548388817116,191.01548388817116,934.7695036505866,360.2106728222444,360.2106728222444,8.95629354549896,1.0,8.95629354549896,79,360.2106728222444,189,360.2106728222444,1.0,693426,934.7695036505866
172,80,242.67414425898536,242.67414425898536,1204.3891662908509,438.81479785710104,438.81479785710104,6.218162847704436,1.0,6.218162847704436,80,438.81479785710104,172,438.81479785710104,1.0,701342,1204.3891662908509
163,81,248.88620447505104,248.88620447505104,1278.5580108780298,477.2661502526595,477.2661502526595,9.196508441073805,1.0,9.196508441073805,81,477.2661502526595,163,477.2661502526595,1.0,709367,1278.5580108780298
146,82,340.46590253949483,340.46590253949483,2164.7759425528743,569.93420784974,569.9342078497398,22.71177319757314,1.0,22.71177319757314,82,569.9342078497398,146,569.93420784974,1.0,717768,2164.7759425528743
130,83,396.40688559131337,396.40688559131337,2338.1667760417486,695.6609891932502,695.6609891932501,7.637266604697995,1.0,7.637266604697995,83,695.6609891932501,130,695.6609891932502,1.0,726162,2338.1667760417486
141,84,302.5933727960132,302.5933727960132,1780.8598579519758,617.327006955641,617.327006955641,41.18642137796209,1.0,41.18642137796209,84,617.327006955641,141,617.327006955641,1.0,734895,1780.8598579519758
155,85,380.73203126301087,380.73203126301087,2745.872978037053,548.4742529649166,548.4742529649166,9.489680896841183,1.0,9.489680896841183,85,548.4742529649166,155,548.4742529649166,1.0,743133,2745.872978037053
126,86,280.9691098131384,280.9691098131384,1572.5166641836327,713.7663925454,713.7663925454,147.50809522692163,1.0,147.50809522692163,86,713.7663925454,126,713.7663925454,1.0,750906,1572.5166641836327
137,87,439.1172446726439,439.1172446726439,2344.9353303406783,711.0363285422909,711.036328542291,9.771288764350215,1.0,9.771288764350215,87,711.036328542291,137,711.0363285422909,1.0,759046,2344.9353303406783
127,88,380.16928677214395,380.16928677214395,1962.798464142172,749.1901749064992,749.1901749064992,10.232795577859797,1.0,10.232795577859797,88,749.1901749064992,127,749.1901749064992,1.0,766911,1962.798464142172
170,89,366.10176304564146,366.10176304564146,1298.2851352341304,496.53595817753813,496.53595817753813,-6.514652571450213,1.0,-6.514652571450213,89,496.53595817753813,170,496.53595817753813,1.0,775136,1298.2851352341304
135,90,428.95178131726374,428.95178131726374,1993.8919600485992,658.6718304463852,658.6718304463852,36.044921508205285,1.0,36.044921508205285,90,658.6718304463852,135,658.6718304463852,1.0,783123,1993.8919600485992
127,91,455.48222091557966,455.48222091557966,1952.1973155265373,738.3097828842641,738.3097828842641,2.8571295757395605,1.0,2.8571295757395605,91,738.3097828842641,127,738.3097828842641,1.0,792329,1952.1973155265373
116,92,383.3723154273024,383.3723154273024,2085.6204260752147,804.1593534424079,804.159353442408,6.640407155959727,1.0,6.640407155959727,92,804.159353442408,116,804.1593534424079,1.0,800474,2085.6204260752147
120,93,358.2221827531918,358.2221827531918,1620.322476932278,661.0920182553772,661.0920182553772,35.06653310334989,1.0,35.06653310334989,93,661.0920182553772,120,661.0920182553772,1.0,808690,1620.322476932278
109,94,420.16813711974646,420.16813711974646,1963.3260135870762,675.1061301105937,675.1061301105938,-8.390616356764802,1.0,-8.390616356764802,94,675.1061301105938,109,675.1061301105937,1.0,817247,1963.3260135870762
129,95,427.6729237229973,427.6729237229973,2064.34778057852,536.1079791028524,536.1079791028524,-9.903691985154298,1.0,-9.903691985154298,95,536.1079791028524,129,536.1079791028524,1.0,825401,2064.34778057852
112,96,434.70300494283305,434.70300494283305,2004.8593572217876,607.1092904917366,607.1092904917366,-6.962542632341673,1.0,-6.962542632341673,96,607.1092904917366,112,607.1092904917366,1.0,833622,2004.8593572217876
123,97,335.73167271711026,335.73167271711026,1685.5906025773495,649.9943635192873,649.9943635192873,41.029061006217496,1.0,41.029061006217496,97,649.9943635192873,123,649.9943635192873,1.0,842111,1685.5906025773495
