MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageReturn
188.93481057795788,708.4328664199645,166.97676898026845,1301.5970316350802,1.0,128,747710,81,128,1301.5970316350802,708.4328664199645,1.0,81,708.4328664199645,166.97676898026845,188.93481057795788,708.4328664199645
561.9646069342429,780.1978577454557,161.61792232507347,1790.8869695511255,1.0,120,757115,82,120,1790.8869695511255,780.1978577454558,1.0,82,780.1978577454557,161.61792232507347,561.9646069342429,780.1978577454558
405.6020215925396,646.1396073479109,116.91874472241794,1424.2739674189725,1.0,136,767198,83,136,1424.2739674189725,646.1396073479109,1.0,83,646.1396073479109,116.91874472241794,405.6020215925396,646.1396073479109
407.3120990391567,750.8548256383698,190.797401084193,1781.6251793124427,1.0,122,777577,84,122,1781.6251793124427,750.8548256383698,1.0,84,750.8548256383698,190.797401084193,407.3120990391567,750.8548256383698
492.0532409975701,683.0116109894709,193.1217543077899,1829.7601051115723,1.0,130,789081,85,130,1829.7601051115723,683.0116109894709,1.0,85,683.0116109894709,193.1217543077899,492.0532409975701,683.0116109894709
555.8561866281472,799.0488778151931,205.13508494119858,2196.7350863237693,1.0,117,799929,86,117,2196.7350863237693,799.048877815193,1.0,86,799.0488778151931,205.13508494119858,555.8561866281472,799.048877815193
567.5187664247227,816.8049676022083,224.6000534274746,1898.3192111847497,1.0,115,812237,87,115,1898.3192111847497,816.8049676022081,1.0,87,816.8049676022083,224.6000534274746,567.5187664247227,816.8049676022081
497.3824902332657,789.1223278362709,146.0496971259912,1335.0813714980181,1.0,116,822736,88,116,1335.0813714980181,789.1223278362708,1.0,88,789.1223278362709,146.0496971259912,497.3824902332657,789.1223278362708
553.2252037209763,1139.734550477119,594.1499593168656,3350.4546801964907,0.9772727272727273,88,832531,89,88,3350.4546801964907,1139.7345504771188,0.9772727272727273,89,1139.734550477119,594.1499593168656,553.2252037209763,1139.7345504771188
433.9291144280547,1001.6901990377861,581.1116410261903,3322.219389320858,0.98,100,844191,90,100,3322.219389320858,1001.6901990377862,0.98,90,1001.6901990377861,581.1116410261903,433.9291144280547,1001.6901990377862
407.40015516213623,994.6899645537696,595.0771586754524,3438.8706120693964,0.9693877551020408,98,853917,91,98,3438.8706120693964,994.6899645537696,0.9693877551020408,91,994.6899645537696,595.0771586754524,407.40015516213623,994.6899645537696
484.6567953343005,807.799580765961,291.3303634326179,2747.655894233865,1.0,115,863134,92,115,2747.655894233865,807.799580765961,1.0,92,807.799580765961,291.3303634326179,484.6567953343005,807.799580765961
52.76723094652315,808.4388569578413,175.3429259207352,1522.3580550206323,1.0,114,871326,93,114,1522.3580550206323,808.4388569578412,1.0,93,808.4388569578413,175.3429259207352,52.76723094652315,808.4388569578412
67.22433528792031,849.2028223454048,284.1510329933865,2037.018253846229,1.0,112,880171,94,112,2037.018253846229,849.2028223454048,1.0,94,849.2028223454048,284.1510329933865,67.22433528792031,849.2028223454048
