MetaTest/Average/Iteration,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn
50,50,838.1818181818181,540084,277.5951329746969,11,838.1818181818181,11,838.1818181818181,277.5951329746969,0.36363636363636365,0.36363636363636365,1000.0,838.1818181818181,174.0,1000.0,174.0
51,51,583.7333333333333,551510,387.34110147115666,15,583.7333333333333,15,583.7333333333333,387.34110147115666,0.6,0.6,1000.0,583.7333333333333,39.0,1000.0,39.0
52,52,681.8666666666667,562769,304.8831178592143,15,681.8666666666667,15,681.8666666666667,304.8831178592143,0.6,0.6,1000.0,681.8666666666667,177.0,1000.0,177.0
53,53,799.0,572999,341.6931105805059,11,799.0,11,799.0,341.6931105805059,0.2727272727272727,0.2727272727272727,1000.0,799.0,63.0,1000.0,63.0
54,54,575.0,582875,341.2691386574532,16,575.0,16,575.0,341.2691386574532,0.6875,0.6875,1000.0,575.0,55.0,1000.0,55.0
55,55,773.5,594141,317.09843371840657,12,773.5,12,773.5,317.09843371840657,0.4166666666666667,0.4166666666666667,1000.0,773.5,106.0,1000.0,106.0
56,56,693.0714285714286,605397,358.6931566286774,14,693.0714285714286,14,693.0714285714286,358.6931566286774,0.5,0.5,1000.0,693.0714285714286,80.0,1000.0,80.0
57,57,431.8695652173913,617200,324.32918118691725,23,431.8695652173913,23,431.8695652173913,324.32918118691725,0.9130434782608695,0.9130434782608695,1000.0,431.8695652173913,24.0,1000.0,24.0
58,58,527.7619047619048,627520,312.9967145365229,21,527.7619047619048,21,527.7619047619048,312.9967145365229,0.9047619047619048,0.9047619047619048,1000.0,527.7619047619048,14.0,1000.0,14.0
59,59,851.4545454545455,638845,251.65104397535154,11,851.4545454545455,11,851.4545454545455,251.65104397535154,0.36363636363636365,0.36363636363636365,1000.0,851.4545454545455,157.0,1000.0,157.0
60,60,724.9285714285714,648409,334.9787763608986,14,724.9285714285714,14,724.9285714285714,334.9787763608986,0.5,0.5,1000.0,724.9285714285714,13.0,1000.0,13.0
61,61,736.3333333333334,659155,341.7443814054917,12,736.3333333333334,12,736.3333333333334,341.7443814054917,0.4166666666666667,0.4166666666666667,1000.0,736.3333333333334,111.0,1000.0,111.0
62,62,915.3333333333334,670426,239.4734965618441,9,915.3333333333334,9,915.3333333333334,239.4734965618441,0.1111111111111111,0.1111111111111111,1000.0,915.3333333333334,238.0,1000.0,238.0
63,63,729.8461538461538,680756,310.08779058489625,13,729.8461538461538,13,729.8461538461538,310.08779058489625,0.46153846153846156,0.46153846153846156,1000.0,729.8461538461538,275.0,1000.0,275.0
64,64,691.6923076923077,694112,349.8908367378832,13,691.6923076923077,13,691.6923076923077,349.8908367378832,0.5384615384615384,0.5384615384615384,1000.0,691.6923076923077,93.0,1000.0,93.0
65,65,802.5833333333334,704385,311.6748996238798,12,802.5833333333334,12,802.5833333333334,311.6748996238798,0.3333333333333333,0.3333333333333333,1000.0,802.5833333333334,83.0,1000.0,83.0
66,66,813.6428571428571,713647,318.81199277112194,14,813.6428571428571,14,813.6428571428571,318.81199277112194,0.42857142857142855,0.42857142857142855,1000.0,813.6428571428571,76.0,1000.0,76.0
67,67,672.5,724619,394.1750426976755,14,672.5,14,672.5,394.1750426976755,0.5,0.5,1000.0,672.5,46.0,1000.0,46.0
68,68,497.1666666666667,735626,341.9363569762979,18,497.1666666666667,18,497.1666666666667,341.9363569762979,0.7222222222222222,0.7222222222222222,1000.0,497.1666666666667,47.0,1000.0,47.0
69,69,704.3846153846154,746781,313.79845037160607,13,704.3846153846154,13,704.3846153846154,313.79845037160607,0.5384615384615384,0.5384615384615384,1000.0,704.3846153846154,107.0,1000.0,107.0
70,70,721.1666666666666,756462,325.99714552260866,12,721.1666666666666,12,721.1666666666666,325.99714552260866,0.5,0.5,1000.0,721.1666666666666,114.0,1000.0,114.0
71,71,750.0909090909091,767555,408.4766499491972,11,750.0909090909091,11,750.0909090909091,408.4766499491972,0.2727272727272727,0.2727272727272727,1000.0,750.0909090909091,39.0,1000.0,39.0
72,72,806.1666666666666,777761,246.54000126190925,12,806.1666666666666,12,806.1666666666666,246.54000126190925,0.5,0.5,1000.0,806.1666666666666,220.0,1000.0,220.0
73,73,550.75,788248,406.00823575390683,16,550.75,16,550.75,406.00823575390683,0.625,0.625,1000.0,550.75,16.0,1000.0,16.0
