MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn
67,683.8245642801975,67,683.8245642801975,84.22760517207671,1084.5250723777926,2625.7843698342044,1084.5250723777926,2625.7843698342044,1084.525072377792,70,0.9104477611940298,84.22760517207671,663181,0.9104477611940298,70,1084.525072377792
84,601.5107993046338,84,601.5107993046338,53.31632273158617,794.9925795844965,2711.768201528959,794.9925795844965,2711.768201528959,794.9925795844964,71,0.9642857142857143,53.31632273158617,672469,0.9642857142857143,71,794.9925795844964
89,596.5017860690944,89,596.5017860690944,46.70849435072252,699.2409853484756,2411.6237866682327,699.2409853484756,2411.6237866682327,699.2409853484758,72,0.9662921348314607,46.70849435072252,682030,0.9662921348314607,72,699.2409853484758
74,695.0557667536932,74,695.0557667536932,52.63482791007827,830.2661871225279,2623.0306036337056,830.2661871225279,2623.0306036337056,830.2661871225279,73,0.9054054054054054,52.63482791007827,690726,0.9054054054054054,73,830.2661871225279
65,753.5472057822965,65,753.5472057822965,67.89227532475891,1072.9360522702234,2653.7810742679403,1072.9360522702234,2653.7810742679403,1072.9360522702234,74,0.8307692307692308,67.89227532475891,700841,0.8307692307692308,74,1072.9360522702234
61,781.3918408661324,61,781.3918408661324,69.45446015383004,1191.2261466281018,2663.639865251211,1191.2261466281018,2663.639865251211,1191.2261466281018,75,0.8524590163934426,69.45446015383004,710170,0.8524590163934426,75,1191.2261466281018
79,534.5185422966229,79,534.5185422966229,21.317580779132964,755.2361156789422,2297.0400710498716,755.2361156789422,2297.0400710498716,755.2361156789422,76,0.9493670886075949,21.317580779132964,719500,0.9493670886075949,76,755.2361156789422
73,717.0892870082729,73,717.0892870082729,-72.84436360898171,944.8402367929108,2737.1893810781944,944.8402367929108,2737.1893810781944,944.8402367929112,77,0.9178082191780822,-72.84436360898171,729407,0.9178082191780822,77,944.8402367929112
72,629.0343559298188,72,629.0343559298188,61.201017119025884,924.4329922405107,2519.980195672435,924.4329922405107,2519.980195672435,924.4329922405107,78,0.9583333333333334,61.201017119025884,739418,0.9583333333333334,78,924.4329922405107
64,860.3200090330263,64,860.3200090330263,120.60267798036124,1220.9530054012507,2958.4384833641566,1220.9530054012507,2958.4384833641566,1220.9530054012507,79,0.890625,120.60267798036124,749151,0.890625,79,1220.9530054012507
70,871.5965880130556,70,871.5965880130556,79.3895794302786,1089.48082808955,2884.5524662786115,1089.48082808955,2884.5524662786115,1089.4808280895497,80,0.8857142857142857,79.3895794302786,760252,0.8857142857142857,80,1089.4808280895497
75,892.1961718299668,75,892.1961718299668,36.40875062610326,1180.5089781219651,3005.1874017150494,1180.5089781219651,3005.1874017150494,1180.5089781219651,81,0.8533333333333334,36.40875062610326,771450,0.8533333333333334,81,1180.5089781219651
81,876.7326987162048,81,876.7326987162048,24.491139271748242,1071.116038419691,2808.2213492925484,1071.116038419691,2808.2213492925484,1071.116038419691,82,0.9012345679012346,24.491139271748242,782720,0.9012345679012346,82,1071.116038419691
88,704.8165581827465,88,704.8165581827465,26.61356854559176,862.8163813281394,2578.839447186252,862.8163813281394,2578.839447186252,862.8163813281393,83,0.9659090909090909,26.61356854559176,792854,0.9659090909090909,83,862.8163813281393
130,573.5599434316708,130,573.5599434316708,23.319911806805234,540.8653456990694,2497.887079377993,540.8653456990694,2497.887079377993,540.8653456990693,84,1.0,23.319911806805234,804490,1.0,84,540.8653456990693
99,619.5294383089397,99,619.5294383089397,26.011665979191914,758.6714196875521,2738.7072681157524,758.6714196875521,2738.7072681157524,758.6714196875517,85,0.9797979797979798,26.011665979191914,814153,0.9797979797979798,85,758.6714196875517
