MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn
122,1.0,140.40407127636243,1298.6712424196376,101,793.8218169178595,122,101,140.40407127636243,1.0,946771,504.63467504072344,1298.6712424196376,504.63467504072344,793.8218169178595,793.8218169178595,793.8218169178595
123,1.0,119.6248568389599,1184.1427747503594,102,767.088541765682,123,102,119.6248568389599,1.0,955809,131.84989728381194,1184.1427747503594,131.84989728381194,767.088541765682,767.088541765682,767.088541765682
132,1.0,115.88303865993369,1204.102190551069,103,719.5571766252112,132,103,115.88303865993369,1.0,964435,83.93548692724708,1204.102190551069,83.93548692724708,719.5571766252112,719.5571766252112,719.5571766252112
126,1.0,150.20951366347788,1214.7104478061171,104,752.838441451132,126,104,150.20951366347788,1.0,973049,61.20548666366437,1214.7104478061171,61.20548666366437,752.8384414511318,752.838441451132,752.8384414511318
126,1.0,159.79508958141022,1253.7964697474833,105,753.7127686205586,126,105,159.79508958141022,1.0,982743,52.95855590597144,1253.7964697474833,52.95855590597144,753.7127686205587,753.7127686205586,753.7127686205587
136,1.0,164.59569339792208,1010.4197534971545,106,668.8071033230481,136,106,164.59569339792208,1.0,991799,75.72571342675508,1010.4197534971545,75.72571342675508,668.8071033230481,668.8071033230481,668.8071033230481
125,1.0,150.0755812452939,1196.9138797280857,107,743.3116464145634,125,107,150.0755812452939,1.0,1001694,81.94929547893142,1196.9138797280857,81.94929547893142,743.3116464145633,743.3116464145634,743.3116464145633
125,1.0,116.59490933241187,1028.8522812852111,108,758.2494958878307,125,108,116.59490933241187,1.0,1010145,91.44033866587455,1028.8522812852111,91.44033866587455,758.2494958878307,758.2494958878307,758.2494958878307
123,1.0,140.7696168440954,1121.0798122623175,109,750.8450185765156,123,109,140.7696168440954,1.0,1019245,93.6641845505988,1121.0798122623175,93.6641845505988,750.8450185765156,750.8450185765156,750.8450185765156
115,1.0,132.71638930573556,1272.0248876806706,110,813.1947977586859,115,110,132.71638930573556,1.0,1028309,77.5069244782896,1272.0248876806706,77.5069244782896,813.194797758686,813.1947977586859,813.194797758686
119,1.0,128.20409356205002,1414.8682093407526,111,793.8510387600833,119,111,128.20409356205002,1.0,1037129,542.8935338233589,1414.8682093407526,542.8935338233589,793.8510387600833,793.8510387600833,793.8510387600833
122,1.0,140.61554152404398,1215.2482130016892,112,762.6135038404512,122,112,140.61554152404398,1.0,1045866,396.13807671336207,1215.2482130016892,396.13807671336207,762.6135038404511,762.6135038404512,762.6135038404511
123,1.0,124.90962112723794,1254.5893827987718,113,750.3991580361525,123,113,124.90962112723794,1.0,1054106,315.7077861238273,1254.5893827987718,315.7077861238273,750.3991580361524,750.3991580361525,750.3991580361524
122,1.0,115.6808815863775,1077.3582609115772,114,762.5821512698403,122,114,115.6808815863775,1.0,1063405,565.1744574281114,1077.3582609115772,565.1744574281114,762.5821512698404,762.5821512698403,762.5821512698404
129,1.0,118.17847695968831,1270.659938822694,115,686.8914249595929,129,115,118.17847695968831,1.0,1072557,287.5288903080597,1270.659938822694,287.5288903080597,686.891424959593,686.8914249595929,686.891424959593
129,1.0,217.08687194283368,1612.1109732810298,116,732.1923010396514,129,116,217.08687194283368,1.0,1082232,57.92359429482719,1612.1109732810298,57.92359429482719,732.1923010396514,732.1923010396514,732.1923010396514
124,1.0,112.08118581626952,1079.8401825237115,117,730.1902619806625,124,117,112.08118581626952,1.0,1090159,453.7958078364161,1079.8401825237115,453.7958078364161,730.1902619806625,730.1902619806625,730.1902619806625
123,1.0,177.81569537264724,1912.4495243281558,118,769.0584782460063,123,118,177.81569537264724,1.0,1100271,319.88150458993033,1912.4495243281558,319.88150458993033,769.0584782460063,769.0584782460063,769.0584782460063
114,1.0,141.80406490630412,1432.9623784070952,119,839.7118976099891,114,119,141.80406490630412,1.0,1109362,561.4863189319204,1432.9623784070952,561.4863189319204,839.711897609989,839.7118976099891,839.711897609989
138,1.0,232.78905689704266,1236.799986813958,120,633.8528296971532,138,120,232.78905689704266,1.0,1118016,119.7610406275387,1236.799986813958,119.7610406275387,633.8528296971532,633.8528296971532,633.8528296971532
127,1.0,141.6891400469739,1108.2867751610906,121,724.5804268089308,127,121,141.6891400469739,1.0,1126405,501.06109840011385,1108.2867751610906,501.06109840011385,724.5804268089308,724.5804268089308,724.5804268089308
118,1.0,111.96742242636734,1190.70657995511,122,831.0903906975462,118,122,111.96742242636734,1.0,1134433,544.7233331467073,1190.70657995511,544.7233331467073,831.0903906975462,831.0903906975462,831.0903906975462
120,1.0,112.09558079052294,1072.441748187625,123,808.6805184699726,120,123,112.09558079052294,1.0,1143500,550.7937697847473,1072.441748187625,550.7937697847473,808.6805184699726,808.6805184699726,808.6805184699726
110,1.0,153.7927538004899,1728.8130115704273,124,860.4022548194424,110,124,153.7927538004899,1.0,1152463,606.1331838677881,1728.8130115704273,606.1331838677881,860.4022548194424,860.4022548194424,860.4022548194424
123,1.0,96.15692212428459,1173.5204601949538,125,768.9841134501559,123,125,96.15692212428459,1.0,1160598,476.30430105841515,1173.5204601949538,476.30430105841515,768.9841134501557,768.9841134501559,768.9841134501557
