MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn
72,1000.0,2.0,72,1000.0,223,40.31390134529148,0.9730941704035875,172.53823943358842,2.0,223,0.9730941704035875,40.31390134529148,40.31390134529148,759388,40.31390134529148,172.53823943358842
73,1000.0,102.0,73,1000.0,14,683.1428571428571,0.5,349.7778595343167,102.0,14,0.5,683.1428571428571,683.1428571428571,769466,683.1428571428571,349.7778595343167
74,1000.0,18.0,74,1000.0,26,337.8076923076923,0.8076923076923077,387.80933253645,18.0,26,0.8076923076923077,337.8076923076923,337.8076923076923,780237,337.8076923076923,387.80933253645
75,1000.0,2.0,75,1000.0,345,24.60289855072464,0.9855072463768116,124.18843322999187,2.0,345,0.9855072463768116,24.60289855072464,24.60289855072464,790787,24.60289855072464,124.18843322999187
76,1000.0,3.0,76,1000.0,97,89.41237113402062,0.9278350515463918,262.62135153095363,3.0,97,0.9278350515463918,89.41237113402062,89.41237113402062,799852,89.41237113402062,262.62135153095363
77,1000.0,51.0,77,1000.0,17,477.2352941176471,0.6470588235294118,412.66202228540266,51.0,17,0.6470588235294118,477.2352941176471,477.2352941176471,810444,477.2352941176471,412.66202228540266
78,1000.0,97.0,78,1000.0,14,609.5,0.5714285714285714,354.35308259257056,97.0,14,0.5714285714285714,609.5,609.5,820059,609.5,354.35308259257056
79,1000.0,2.0,79,1000.0,325,30.021538461538462,0.9846153846153847,136.57722356832832,2.0,325,0.9846153846153847,30.021538461538462,30.021538461538462,830421,30.021538461538462,136.57722356832832
80,1000.0,2.0,80,1000.0,305,28.38360655737705,0.9868852459016394,136.51436143789422,2.0,305,0.9868852459016394,28.38360655737705,28.38360655737705,840378,28.38360655737705,136.51436143789422
81,1000.0,12.0,81,1000.0,20,477.6,0.65,420.7796810683709,12.0,20,0.65,477.6,477.6,850881,477.6,420.7796810683709
82,1000.0,113.0,82,1000.0,12,731.6666666666666,0.4166666666666667,362.39373921499003,113.0,12,0.4166666666666667,731.6666666666666,731.6666666666666,861626,731.6666666666666,362.39373921499003
83,1000.0,13.0,83,1000.0,16,566.1875,0.5625,398.46725379101105,13.0,16,0.5625,566.1875,566.1875,872511,566.1875,398.46725379101105
84,1000.0,2.0,84,1000.0,50,170.22,0.92,269.92927147680746,2.0,50,0.92,170.22,170.22,883063,170.22,269.92927147680746
