MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn
1.0,62.507247642103565,553.023249733573,796.0502093909387,110,796.0502093909387,622024,2776.650077627512,796.0502093909387,110,2776.650077627512,1.0,68,553.023249733573,796.0502093909387,68,62.507247642103565
1.0,65.0983005987907,599.8725233695527,933.4971661716862,100,933.4971661716862,631158,2748.3988395930705,933.4971661716864,100,2748.3988395930705,1.0,69,599.8725233695527,933.4971661716864,69,65.0983005987907
1.0,67.52561543455182,375.7560774046802,697.1656067900124,128,697.1656067900124,640018,2062.4164331376887,697.1656067900124,128,2062.4164331376887,1.0,70,375.7560774046802,697.1656067900124,70,67.52561543455182
1.0,61.67128711771731,414.7912069263212,508.6857546084888,166,508.6857546084888,648518,1792.3644360766623,508.6857546084887,166,1792.3644360766623,1.0,71,414.7912069263212,508.6857546084887,71,61.67128711771731
1.0,367.3140756688181,204.64607035454645,689.2326641388702,132,689.2326641388702,657531,1780.8906410153074,689.2326641388702,132,1780.8906410153074,1.0,72,204.64607035454645,689.2326641388702,72,367.3140756688181
1.0,67.94159729649614,495.57958804010013,887.2328988837396,105,887.2328988837396,665425,3063.0253015627286,887.2328988837394,105,3063.0253015627286,1.0,73,495.57958804010013,887.2328988837394,73,67.94159729649614
1.0,457.8071264319972,291.7326586178692,722.4004886562368,126,722.4004886562368,673376,2677.3631594614167,722.4004886562369,126,2677.3631594614167,1.0,74,291.7326586178692,722.4004886562369,74,457.8071264319972
0.9680851063829787,75.85791984110713,683.9592683009562,1028.6764049826634,94,1028.6764049826634,682409,3296.8840613497737,1028.6764049826636,94,3296.8840613497737,0.9680851063829787,75,683.9592683009562,1028.6764049826636,75,75.85791984110713
0.9047619047619048,567.3734852942066,760.9750031213141,1127.953712407036,84,1127.953712407036,690967,3239.3227304098004,1127.953712407036,84,3239.3227304098004,0.9047619047619048,76,760.9750031213141,1127.953712407036,76,567.3734852942066
1.0,376.4758587335707,344.26055811628663,861.2048551632482,109,861.2048551632482,699755,2859.401450289942,861.2048551632483,109,2859.401450289942,1.0,77,344.26055811628663,861.2048551632483,77,376.4758587335707
