TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn
630000,8973.887097705458,10115.685924351636,8973.887097705458,6827.262941340521,25,6827.262941340521,25,771.0016108273286,57,8973.887097705458,57,8973.887097705458,0.0,10115.685924351636,0.0,771.0016108273286
640000,8897.98239046689,9952.6721141893,8897.982390466892,7034.272439845044,25,7034.272439845044,25,738.0303787444406,58,8897.982390466892,58,8897.98239046689,0.0,9952.6721141893,0.0,738.0303787444406
650000,8488.990747743488,9912.79243348884,8488.990747743495,7030.380289266273,25,7030.380289266273,25,853.4084575178126,59,8488.990747743495,59,8488.990747743488,0.0,9912.79243348884,0.0,853.4084575178126
660000,9068.608174040946,10368.712241105173,9068.608174040945,7056.929277356014,25,7056.929277356014,25,1055.8150173167746,60,9068.608174040945,60,9068.608174040946,0.0,10368.712241105173,0.0,1055.8150173167746
670000,8316.970187436225,10325.94407405821,8316.970187436225,1243.7744950173535,25,1243.7744950173535,25,1889.8879106567115,61,8316.970187436225,61,8316.970187436225,0.0,10325.94407405821,0.0,1889.8879106567115
680000,8627.780475221205,10249.880311687524,8627.780475221201,6760.662392352286,25,6760.662392352286,25,951.2199125216328,62,8627.780475221201,62,8627.780475221205,0.0,10249.880311687524,0.0,951.2199125216328
690000,9093.407142437378,10505.658088358552,9093.407142437376,7349.6789870375,25,7349.6789870375,25,1087.2950216872325,63,9093.407142437376,63,9093.407142437378,0.0,10505.658088358552,0.0,1087.2950216872325
700000,8952.039513986187,10404.306471707441,8952.039513986187,7281.301614692679,25,7281.301614692679,25,918.942135996187,64,8952.039513986187,64,8952.039513986187,0.0,10404.306471707441,0.0,918.942135996187
710000,9106.885459993773,10512.05546615475,9106.885459993773,7766.166473886719,25,7766.166473886719,25,679.4868249667345,65,9106.885459993773,65,9106.885459993773,0.0,10512.05546615475,0.0,679.4868249667345
720000,9331.913970522963,10829.582331822974,9331.913970522963,7401.561517190195,25,7401.561517190195,25,944.0121396160268,66,9331.913970522963,66,9331.913970522963,0.0,10829.582331822974,0.0,944.0121396160268
730000,9058.37557615857,10405.314273970738,9058.37557615857,6921.320717795721,25,6921.320717795721,25,1098.986929092521,67,9058.37557615857,67,9058.37557615857,0.0,10405.314273970738,0.0,1098.986929092521
740000,8354.0144077792,10291.072342293171,8354.014407779197,-467.9259228606134,25,-467.9259228606134,25,2261.45159581447,68,8354.014407779197,68,8354.0144077792,0.0,10291.072342293171,0.0,2261.45159581447
750000,9310.903968706763,11225.207542060407,9310.903968706765,7385.904943998976,25,7385.904943998976,25,1068.4207042681242,69,9310.903968706765,69,9310.903968706763,0.0,11225.207542060407,0.0,1068.4207042681242
760000,9225.85935631836,10747.406826856728,9225.85935631836,7298.569086400582,25,7298.569086400582,25,889.2564970430756,70,9225.85935631836,70,9225.85935631836,0.0,10747.406826856728,0.0,889.2564970430756
770000,9417.970989337115,11065.72593134892,9417.970989337115,7816.891440104211,25,7816.891440104211,25,968.3274953711147,71,9417.970989337115,71,9417.970989337115,0.0,11065.72593134892,0.0,968.3274953711147
780000,9516.233297675943,11051.695490948548,9516.233297675943,7191.825778183861,25,7191.825778183861,25,1120.1674566992845,72,9516.233297675943,72,9516.233297675943,0.0,11051.695490948548,0.0,1120.1674566992845
790000,9210.421151744162,11107.499907623587,9210.42115174416,5825.521803814148,25,5825.521803814148,25,1202.6084886055198,73,9210.42115174416,73,9210.421151744162,0.0,11107.499907623587,0.0,1202.6084886055198
800000,8727.001767469254,11044.877326827977,8727.001767469254,1313.8786124075473,25,1313.8786124075473,25,2305.1278620541802,74,8727.001767469254,74,8727.001767469254,0.0,11044.877326827977,0.0,2305.1278620541802
810000,9294.743024387482,11208.82636214932,9294.743024387486,7330.045249924262,25,7330.045249924262,25,1211.997719665087,75,9294.743024387486,75,9294.743024387482,0.0,11208.82636214932,0.0,1211.997719665087
820000,9662.129289248574,11402.776718260275,9662.129289248569,7825.064947396786,25,7825.064947396786,25,1035.7383594403607,76,9662.129289248569,76,9662.129289248574,0.0,11402.776718260275,0.0,1035.7383594403607
830000,9055.156768611683,10964.681399540697,9055.156768611687,1057.685801639852,25,1057.685801639852,25,1927.468119079931,77,9055.156768611687,77,9055.156768611683,0.0,10964.681399540697,0.0,1927.468119079931
840000,9805.413755934727,11116.457457489572,9805.413755934725,7724.131302613784,25,7724.131302613784,25,1088.6393737291644,78,9805.413755934725,78,9805.413755934727,0.0,11116.457457489572,0.0,1088.6393737291644
850000,9757.3707702433,11153.863415442618,9757.370770243298,7362.351100653838,25,7362.351100653838,25,939.0273018637913,79,9757.370770243298,79,9757.3707702433,0.0,11153.863415442618,0.0,939.0273018637913
860000,9739.199309833886,11391.058872409347,9739.19930983389,7245.502302252106,25,7245.502302252106,25,1186.230677276238,80,9739.19930983389,80,9739.199309833886,0.0,11391.058872409347,0.0,1186.230677276238
870000,9230.567020102026,11995.290775874972,9230.567020102024,6055.777407087971,25,6055.777407087971,25,1249.677914286403,81,9230.567020102024,81,9230.567020102026,0.0,11995.290775874972,0.0,1249.677914286403
880000,9693.50809703881,11858.089591694965,9693.508097038812,7606.192627800633,25,7606.192627800633,25,1204.3209241616253,82,9693.508097038812,82,9693.50809703881,0.0,11858.089591694965,0.0,1204.3209241616253
890000,9685.93439404731,11547.052732159307,9685.934394047312,7420.963984664481,25,7420.963984664481,25,1015.0700241334271,83,9685.934394047312,83,9685.93439404731,0.0,11547.052732159307,0.0,1015.0700241334271
