TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn
890000,9678.322804271813,25,6510.812791401807,25,0.0,731.7749233975485,83,8196.562094600446,9678.322804271813,0.0,731.7749233975485,8196.562094600446,6510.812791401807,83,8196.562094600446,8196.562094600446
900000,9837.538250382224,25,6213.366935713526,25,0.0,974.8793789703126,84,8332.735191446334,9837.538250382224,0.0,974.8793789703126,8332.735191446336,6213.366935713526,84,8332.735191446334,8332.735191446336
910000,9951.096036520097,25,6332.5475367643885,25,0.0,889.9563392050574,85,8297.330939253538,9951.096036520097,0.0,889.9563392050574,8297.33093925354,6332.5475367643885,85,8297.330939253538,8297.33093925354
920000,9997.988957183197,25,1831.5291077980964,25,0.0,1608.7654039752495,86,8476.326411729495,9997.988957183197,0.0,1608.7654039752495,8476.326411729497,1831.5291077980964,86,8476.326411729495,8476.326411729497
930000,9880.584225103754,25,6515.554880395751,25,0.0,994.6673189348043,87,8261.240910355911,9880.584225103754,0.0,994.6673189348043,8261.240910355911,6515.554880395751,87,8261.240910355911,8261.240910355911
940000,9783.696910730107,25,6985.026196211709,25,0.0,829.5586406848672,88,8422.801897091907,9783.696910730107,0.0,829.5586406848672,8422.80189709191,6985.026196211709,88,8422.801897091907,8422.80189709191
950000,10098.802256537485,25,7038.382274126725,25,0.0,718.7525959793085,89,8306.928926973105,10098.802256537485,0.0,718.7525959793085,8306.928926973107,7038.382274126725,89,8306.928926973105,8306.928926973107
960000,10245.21772412119,25,6872.306133323705,25,0.0,878.5491151169402,90,8393.870442382093,10245.21772412119,0.0,878.5491151169402,8393.870442382095,6872.306133323705,90,8393.870442382093,8393.870442382095
970000,10816.89160778699,25,6375.019527983048,25,0.0,1241.1964614573283,91,8842.120480176762,10816.89160778699,0.0,1241.1964614573283,8842.120480176765,6375.019527983048,91,8842.120480176762,8842.120480176765
980000,10280.290124759871,25,1720.8346283080118,25,0.0,1552.6313125299866,92,8227.334052880244,10280.290124759871,0.0,1552.6313125299866,8227.334052880247,1720.8346283080118,92,8227.334052880244,8227.334052880247
990000,10584.29090344626,25,6811.66942677427,25,0.0,1072.5684241472911,93,8683.921234215302,10584.29090344626,0.0,1072.5684241472911,8683.9212342153,6811.66942677427,93,8683.921234215302,8683.9212342153
1000000,10498.929762762587,25,7818.20108392197,25,0.0,830.8427458295648,94,9162.81084572987,10498.929762762587,0.0,830.8427458295648,9162.810845729868,7818.20108392197,94,9162.81084572987,9162.810845729868
1010000,10606.987435252617,25,6783.628678342285,25,0.0,997.0116946587449,95,8901.197150846981,10606.987435252617,0.0,997.0116946587449,8901.197150846983,6783.628678342285,95,8901.197150846981,8901.197150846983
1020000,10331.350242757904,25,6745.193723871295,25,0.0,915.642445481744,96,8667.666066334794,10331.350242757904,0.0,915.642445481744,8667.666066334798,6745.193723871295,96,8667.666066334794,8667.666066334798
1030000,11372.30183925315,25,6580.721070860032,25,0.0,1184.465392879509,97,8828.123820276494,11372.30183925315,0.0,1184.465392879509,8828.123820276496,6580.721070860032,97,8828.123820276494,8828.123820276496
1040000,10588.978274660052,25,6960.578402541415,25,0.0,1108.577759845987,98,8906.348087656712,10588.978274660052,0.0,1108.577759845987,8906.348087656714,6960.578402541415,98,8906.348087656712,8906.348087656714
1050000,10746.851387995624,25,3083.262229311194,25,0.0,1547.620776442259,99,8673.502288377978,10746.851387995624,0.0,1547.620776442259,8673.502288377984,3083.262229311194,99,8673.502288377978,8673.502288377984
1060000,11097.24514913596,25,6897.485163302186,25,0.0,1161.7235337234006,100,9426.676497799443,11097.24514913596,0.0,1161.7235337234006,9426.67649779944,6897.485163302186,100,9426.676497799443,9426.67649779944
1070000,11298.139175115166,25,7221.010443753898,25,0.0,1106.8277684093305,101,9164.68683276743,11298.139175115166,0.0,1106.8277684093305,9164.686832767431,7221.010443753898,101,9164.68683276743,9164.686832767431
1080000,10444.290008950964,25,6901.448760236803,25,0.0,1045.5514317155707,102,8724.66459250176,10444.290008950964,0.0,1045.5514317155707,8724.66459250176,6901.448760236803,102,8724.66459250176,8724.66459250176
1090000,10875.676604750995,25,7621.54258717941,25,0.0,792.1725243654,103,8973.330576144152,10875.676604750995,0.0,792.1725243654,8973.330576144153,7621.54258717941,103,8973.330576144152,8973.330576144153
1100000,11480.09745745389,25,6973.4664874517175,25,0.0,1015.9293854445498,104,9319.023908348854,11480.09745745389,0.0,1015.9293854445498,9319.023908348856,6973.4664874517175,104,9319.023908348854,9319.023908348856
1110000,11274.17103162563,25,7211.24614294849,25,0.0,1019.5714839680594,105,9697.539950515347,11274.17103162563,0.0,1019.5714839680594,9697.53995051535,7211.24614294849,105,9697.539950515347,9697.53995051535
1120000,11333.009102355816,25,6830.856513680882,25,0.0,1093.5226441099107,106,9582.568804097535,11333.009102355816,0.0,1093.5226441099107,9582.568804097533,6830.856513680882,106,9582.568804097535,9582.568804097533
1130000,10988.76184419719,25,6516.9187495156075,25,0.0,1158.1642709524776,107,8977.166260770713,10988.76184419719,0.0,1158.1642709524776,8977.166260770713,6516.9187495156075,107,8977.166260770713,8977.166260770713
1140000,10154.878259482186,25,6311.066619401119,25,0.0,941.840337752662,108,8633.201943997783,10154.878259482186,0.0,941.840337752662,8633.201943997783,6311.066619401119,108,8633.201943997783,8633.201943997783
